 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 10/28/2021 11:22:07
File Marker Date: 10/27/2021 16:23:57
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
O_coupler = 12.0
Box_w = 250.0
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S21],ANG[S21],DB[S22],ANG[S22]
5.431565000000000,-0.186809901803,-172.9686986735,-13.75704864148,-82.62689899461,-13.75704864148,-82.62689899461,-0.186809901366,-172.2854707797
5.431565100000000,-0.185608606783,-173.0065592238,-13.78447089567,-82.66475886996,-13.78447089567,-82.66475886996,-0.185608606346,-172.3233309538
5.431565200000001,-0.184410928355,-173.0444305892,-13.81199167599,-82.70262956156,-13.81199167599,-82.70262956156,-0.184410927918,-172.3612019430
5.431565300000000,-0.183216870051,-173.0823127412,-13.83961161621,-82.74051103032,-13.83961161621,-82.74051103032,-0.183216869614,-172.3990837189
5.431565400000000,-0.182026434852,-173.1202056517,-13.86733135656,-82.77840325420,-13.86733135656,-82.77840325420,-0.182026434415,-172.4369762531
5.431565500000000,-0.180839625868,-173.1581092915,-13.89515154328,-82.81630620698,-13.89515154328,-82.81630620698,-0.180839625431,-172.4748795168
5.431565600000001,-0.179656446144,-173.1960236320,-13.92307282916,-82.85421986412,-13.92307282916,-82.85421986412,-0.179656445707,-172.5127934811
5.431565700000000,-0.178476899299,-173.2339486451,-13.95109587414,-82.89214418246,-13.95109587414,-82.89214418246,-0.178476898861,-172.5507181180
5.431565800000000,-0.177300987989,-173.2718843014,-13.97922134397,-82.93007914943,-13.97922134397,-82.93007914943,-0.177300987551,-172.5886533981
5.431565900000001,-0.176128716032,-173.3098305730,-14.00744991204,-82.96802471471,-14.00744991204,-82.96802471471,-0.176128715594,-172.6265992935
5.431566000000000,-0.174960085730,-173.3477874300,-14.03578225740,-83.00598087675,-14.03578225740,-83.00598087675,-0.174960085292,-172.6645557743
5.431566100000000,-0.173795100962,-173.3857548440,-14.06421906697,-83.04394758258,-14.06421906697,-83.04394758258,-0.173795100523,-172.7025228122
5.431566200000001,-0.172633764382,-173.4237327863,-14.09276103454,-83.08192481869,-14.09276103454,-83.08192481869,-0.172633763943,-172.7405003782
5.431566300000000,-0.171476079278,-173.4617212275,-14.12140886053,-83.11991255071,-14.12140886053,-83.11991255071,-0.171476078839,-172.7784884432
5.431566400000000,-0.170322049138,-173.4997201388,-14.15016325323,-83.15791073728,-14.15016325323,-83.15791073728,-0.170322048699,-172.8164869783
